conv + conv + conv + fc + fc
resnet + resnet + resnet + fc + fc
inception + inception + inception + fc +fc

batchnormalization
maxpool

resnet
    i -> conv(relu) + conv(relu) -> i+o 


conv(8) + conv(16) + conv(32) + fc + fc
    Epoch 9, Perdida: 1.3863258361816406, Exactitud: 23.4375, Perdida de prueba: 1.3862134218215942, Exactitud de prueba: 18.75
    Epoch 10, Perdida: 1.3863351345062256, Exactitud: 23.203125, Perdida de prueba: 1.3863391876220703, Exactitud de prueba: 25.0
    Epoch 11, Perdida: 1.3863376379013062, Exactitud: 24.140625, Perdida de prueba: 1.3862953186035156, Exactitud de prueba: 18.75
    Epoch 12, Perdida: 1.3863307237625122, Exactitud: 23.59375, Perdida de prueba: 1.3862528800964355, Exactitud de prueba: 25.0
    Epoch 13, Perdida: 1.3863292932510376, Exactitud: 23.4375, Perdida de prueba: 1.386350154876709, Exactitud de prueba: 12.5
    Epoch 14, Perdida: 1.3863290548324585, Exactitud: 22.578125, Perdida de prueba: 1.3864727020263672, Exactitud de prueba: 12.5
    Epoch 15, Perdida: 1.3863232135772705, Exactitud: 24.296875, Perdida de prueba: 1.3862948417663574, Exactitud de prueba: 25.0
    Epoch 16, Perdida: 1.3863184452056885, Exactitud: 24.453125, Perdida de prueba: 1.3863908052444458, Exactitud de prueba: 25.0
    Epoch 17, Perdida: 1.386326551437378, Exactitud: 22.578125, Perdida de prueba: 1.3863340616226196, Exactitud de prueba: 31.25
    Epoch 18, Perdida: 1.3863248825073242, Exactitud: 23.28125, Perdida de prueba: 1.3863791227340698, Exactitud de prueba: 12.5
    Epoch 19, Perdida: 1.3863306045532227, Exactitud: 23.28125, Perdida de prueba: 1.3863450288772583, Exactitud de prueba: 6.25
    Epoch 20, Perdida: 1.3863266706466675, Exactitud: 23.75, Perdida de prueba: 1.3862690925598145, Exactitud de prueba: 25.0

conv(8) + batchnormalization + conv(16) + batchnormalization + conv(32) + batchnormalization + fc + fc
    Epoch 1, Perdida: 1.347530722618103, Exactitud: 35.078125, Perdida de prueba: 1.2119215726852417, Exactitud de prueba: 62.5
    Epoch 2, Perdida: 1.1883527040481567, Exactitud: 47.265625, Perdida de prueba: 1.1599085330963135, Exactitud de prueba: 50.0
    Epoch 3, Perdida: 1.0656499862670898, Exactitud: 54.609375, Perdida de prueba: 0.9771441221237183, Exactitud de prueba: 75.0
    Epoch 4, Perdida: 0.9702059626579285, Exactitud: 61.25, Perdida de prueba: 0.7756537199020386, Exactitud de prueba: 75.0
    Epoch 5, Perdida: 0.886631965637207, Exactitud: 65.546875, Perdida de prueba: 0.6601589918136597, Exactitud de prueba: 75.0
    Epoch 6, Perdida: 0.8486095666885376, Exactitud: 68.90625, Perdida de prueba: 0.7363712787628174, Exactitud de prueba: 75.0
    Epoch 7, Perdida: 0.7752920389175415, Exactitud: 70.859375, Perdida de prueba: 0.5750287175178528, Exactitud de prueba: 81.25
    Epoch 8, Perdida: 0.7165129780769348, Exactitud: 75.15625, Perdida de prueba: 0.5075522661209106, Exactitud de prueba: 93.75
    Epoch 9, Perdida: 0.7002015709877014, Exactitud: 75.46875, Perdida de prueba: 0.6187057495117188, Exactitud de prueba: 93.75
    Epoch 10, Perdida: 0.6236823201179504, Exactitud: 77.34375, Perdida de prueba: 0.624832808971405, Exactitud de prueba: 75.0
    Epoch 11, Perdida: 0.5741780996322632, Exactitud: 81.5625, Perdida de prueba: 0.46536198258399963, Exactitud de prueba: 93.75
    Epoch 12, Perdida: 0.5595030784606934, Exactitud: 81.40625, Perdida de prueba: 0.6678887009620667, Exactitud de prueba: 68.75
    Epoch 13, Perdida: 0.49980592727661133, Exactitud: 83.984375, Perdida de prueba: 0.4516591429710388, Exactitud de prueba: 87.5
    Epoch 14, Perdida: 0.45722299814224243, Exactitud: 86.171875, Perdida de prueba: 0.32719120383262634, Exactitud de prueba: 87.5
    Epoch 15, Perdida: 0.4206092357635498, Exactitud: 88.28125, Perdida de prueba: 0.38107338547706604, Exactitud de prueba: 93.75
    Epoch 16, Perdida: 0.3839031457901001, Exactitud: 90.46875, Perdida de prueba: 0.5236715078353882, Exactitud de prueba: 93.75
    Epoch 17, Perdida: 0.3528290092945099, Exactitud: 90.15625, Perdida de prueba: 0.27434635162353516, Exactitud de prueba: 100.0
    Epoch 18, Perdida: 0.3090905249118805, Exactitud: 92.578125, Perdida de prueba: 0.18260671198368073, Exactitud de prueba: 100.0
    Epoch 19, Perdida: 0.2694522738456726, Exactitud: 94.53125, Perdida de prueba: 0.3815957307815552, Exactitud de prueba: 87.5
    Epoch 20, Perdida: 0.24282319843769073, Exactitud: 95.15625, Perdida de prueba: 0.2543981671333313, Exactitud de prueba: 100.0


conv(8) + batchnormalization + conv(16) + batchnormalization + conv(32) + batchnormalization + fc + fc - data augmentation
    Epoch 1, Perdida: 1.3865197896957397, Exactitud: 23.046875, Perdida de prueba: 1.3862624168395996, Exactitud de prueba: 31.25
    Epoch 2, Perdida: 1.3863259553909302, Exactitud: 23.359375, Perdida de prueba: 1.3864150047302246, Exactitud de prueba: 12.5
    Epoch 3, Perdida: 1.386318564414978, Exactitud: 22.890625, Perdida de prueba: 1.3863050937652588, Exactitud de prueba: 18.75
    Epoch 4, Perdida: 1.3863203525543213, Exactitud: 23.75, Perdida de prueba: 1.3863334655761719, Exactitud de prueba: 18.75
    Epoch 5, Perdida: 1.386314034461975, Exactitud: 23.28125, Perdida de prueba: 1.3863412141799927, Exactitud de prueba: 18.75
    Epoch 6, Perdida: 1.3863170146942139, Exactitud: 23.90625, Perdida de prueba: 1.3862700462341309, Exactitud de prueba: 25.0
    Epoch 7, Perdida: 1.3863153457641602, Exactitud: 22.96875, Perdida de prueba: 1.3863428831100464, Exactitud de prueba: 18.75
    Epoch 8, Perdida: 1.3863166570663452, Exactitud: 23.28125, Perdida de prueba: 1.3865450620651245, Exactitud de prueba: 6.25
    Epoch 9, Perdida: 1.386317491531372, Exactitud: 23.28125, Perdida de prueba: 1.3863482475280762, Exactitud de prueba: 25.0
    Epoch 10, Perdida: 1.3863155841827393, Exactitud: 23.125, Perdida de prueba: 1.386411190032959, Exactitud de prueba: 12.5
    Epoch 11, Perdida: 1.386315107345581, Exactitud: 23.75, Perdida de prueba: 1.386330246925354, Exactitud de prueba: 18.75
    Epoch 12, Perdida: 1.386317491531372, Exactitud: 23.59375, Perdida de prueba: 1.3863862752914429, Exactitud de prueba: 18.75
    Epoch 13, Perdida: 1.3863143920898438, Exactitud: 23.671875, Perdida de prueba: 1.3861790895462036, Exactitud de prueba: 50.0
